fighter,score,Peak_score
Fabricio Camoes,-30.370237116321608,4.702464552675559
Chris Camozzi,-45.766566818121504,18.309090271513348
Brian Camozzi,-31.0,-10.0
Ricky Camp,0.0,-1000.0
Mike Campbell,-21.0,-10.0
Thomas Campbell,-7.100232042459947,-7.100232042459947
Shane Campbell,-30.741871839043547,0.2581281609564545
Charlie Campbell,1.8904561195249059,1.8904561195249059
John Campetella,-10.0,-10.0
Wagner Campos,-10.0,-10.0
Derek Campos,0.0,-1000.0
Will Campuzano,-53.996359603626075,-2.996359603626077
Aleksa Camur,-20.30209098829844,7.6979090117015625
Chico Camus,-30.03869858670833,3.060482773343286
Asbel Cancio,-10.0,-10.0
Carlos Candelario,-24.609516841305307,4.390483158694692
Ronaldo Candido,-10.0,-10.0
Luiz Cane,-24.458535198580307,10.469418831269383
Guido Cannetti,-44.16004339132962,-7.2256140822675
Jared Cannonier,7.144448886513654,27.144448886513654
Jose Canseco,-10.0,-10.0
Cody Canterbury,-11.0,-11.0
Bo Cantrell,-10.0,-10.0
Steve Cantwell,-39.747985133147765,10.252014866852235
Paul Capaldo,0.0,-1000.0
Phil Caracappa,-8.0,-8.0
Frank Caracci,-10.0,-10.0
Gina Carano,37.205277073205025,47.205277073205025
Dos Caras Jr.,-20.0,-10.0
Bryan Caraway,-2.721722794747995,15.278277205252005
Remo Cardarelli,0.0,-1000.0
Phil Cardella,-18.0,-8.0
Edgar Cardenas,-10.0,-10.0
Chris Cariaso,-19.200143889299234,14.425260305489585
Ronald Carillo,9.511771730502142,9.511771730502142
Rafael Carino,4.743442335499074,4.743442335499074
Don Carlo-Clauss,-10.0,-10.0
Antonio Carlos Junior,-5.214075681270678,22.78592431872932
Spike Carlyle,-16.225614082267498,3.7743859177325003
Francis Carmont,16.816112543829647,46.81611254382965
Liz Carmouche,-31.54630412496578,6.725971169965532
Roan Carneiro,-36.685917758057485,-7.310218079136159
Ariane Carnelossi,-8.979043736569004,1.0209562634309965
Luana Carolina,0.4018198678303486,9.663086453499995
Tim Caron,0.0,-1000.0
Clayton Carpenter,29.53167108904332,29.53167108904332
Gabriel Carrasco,0.0,-1000.0
Cody Carrillo,0.0,-1000.0
Cain Carrizosa,-21.0,-11.0
Roger Carroll,0.0,-1000.0
Jonny Carson,-11.0,-11.0
Scott Carson,-10.0,-10.0
Shonie Carter,-30.65575235866494,10.34424764133506
Jack Cartwright,-10.0,-10.0
Bruno Carvalho,-10.0,-10.0
Antonio Carvalho,-13.703687289098934,-3.7036872890989327
Rafael Carvalho,0.0,-1000.0
Shane Carwin,1.8558101713901962,22.855810171390196
Johnny Case,14.140663109019833,35.14066310901983
Kevin Casey,-31.30375277817922,3.4544566075013003
Cortney Casey,-58.43662211953957,-10.0
Brandon Cash,-22.0,-11.0
Bendy Casimir,-21.0,-10.0
Dwayne Cason,-8.407261729410545,2.592738270589456
Joe Cason,-10.0,-10.0
John Castaneda,12.130122986238884,22.130122986238884
Eric Castile,-11.0,-11.0
Gil Castillo,-16.009581890811006,-6.009581890811008
Danny Castillo,-23.603701813787296,11.593575062403355
